,duration1,duration2,duration3,duration4,duration5,duration6,duration7,duration8,duration21,duration9,duration10,duration27,duration13,duration14,duration24,duration11,duration12,duration15,duration16,duration18,duration17,duration19,duration20,duration22,duration23,duration25,duration26,duration28,duration29,duration30,duration31,duration32,duration33,baseline_duration,actual_duration
0,0,59,339,12,22,242,209,190,78,249,102,238.99610077927852,306.4420479018537,13,87,18,74,22,28,21,28,15,11,26.52391337731214,7.966271439138209,8.152955727464379,18.633756608478546,10.015941299798799,11.655432510730574,11.744944922909973,18.245147556088078,7.478482819763974,0,1107.6000000000001,1244.8331528675137
1,0,59,339,12,22,242,209,190,78,249,102,239.2535366488789,311.606727605887,13,87,18,74,22,28,21,28,15,11,26.059810319284864,9.074895265346479,7.599303159385352,18.410937286340662,10.017226559394762,9.511065496131732,10.38946080311795,18.577129522459572,6.756645587984202,0,1107.6000000000001,1247.722331420736
2,0,59,339,12,22,242,209,190,78,249,102,239.20788322258042,313.81699160262934,13,87,18,74,22,28,21,28,15,11,26.375687303226847,8.877010331068458,7.726654521081612,19.084403070327518,10.021615829452182,10.035169369717366,10.28535810146283,17.10878716455118,8.976565803533,0,1107.6000000000001,1251.1670129924635
3,0,59,339,12,22,242,209,190,78,249,102,240.76238506468792,332.24424684409354,13,87,18,74,22,28,21,28,15,11,26.513471596795405,8.39746036891993,9.193256411281068,18.021876313799417,9.985514594467762,10.696611765418826,10.448325642596952,15.984955084470673,8.974361000990028,0,1107.6000000000001,1270.6480743541285
4,0,59,339,12,22,242,209,190,78,249,102,239.11303374071525,328.33264709150956,13,87,18,74,22,28,21,28,15,11,26.152480835393767,8.796405322554536,8.006135366859098,16.142022059598997,9.962176445921969,10.482647109671124,11.413038775646054,17.382595475034847,8.096697804905284,0,1107.6000000000001,1265.3697976677581
5,0,59,339,12,22,242,209,190,78,249,102,241.00510383620076,337.2974942559947,13,87,18,74,22,28,21,28,15,11,26.207487262758303,8.503868955163982,8.194772681864446,17.226240321600365,10.056047255617282,10.497047975278072,10.364831099798351,17.607226972880373,8.248537102136,0,1107.6000000000001,1276.7114573981073
6,0,59,339,12,22,242,209,190,78,249,102,241.02852988330272,342.16408812404393,13,87,18,74,22,28,21,28,15,11,26.491060076363482,8.970177192688956,8.507708696251752,17.40745748241737,9.980447884530516,11.111987154389269,9.560941654811867,16.963701136659154,9.374458961299867,0,1107.6000000000001,1282.6232131442257
7,0,59,339,12,22,242,209,190,78,249,102,240.32908151767606,339.8271943894617,13,87,18,74,22,28,21,28,15,11,26.112514334557805,7.640779152589337,9.111766542987164,17.237840728247555,9.978173051999725,10.873726123238665,10.373734286035072,18.759141830224294,7.2347398670303,0,1107.6000000000001,1279.0020567796307
8,0,59,339,12,22,242,209,190,78,249,102,240.0874512028856,340.53091218652804,13,87,18,74,22,28,21,28,15,11,25.706206741488963,8.36816522002873,8.33937643371973,19.033583461890707,10.02614652265029,10.519300315398247,10.996175301577246,17.89225740494968,8.392629104965511,0,1107.6000000000001,1279.4486967373773
9,0,59,339,12,22,242,209,190,78,249,102,240.88724128655167,334.3454697812814,13,87,18,74,22,28,21,28,15,11,26.229879042198522,9.266070736842796,8.829432282603086,16.83055527822343,10.035354251730542,10.390907584842836,9.831279448147395,16.011459714378073,9.188093885493458,0,1107.6000000000001,1272.858526504278
