,duration1,duration10,duration11,duration2,duration3,duration4,duration12,duration14,duration5,duration6,duration7,duration8,duration9,duration13,duration15,critical_path,baseline_duration,actual_duration
0,1960.664121396896,2104.7843732113442,2403.2166490681966,1747.9132909954856,472.4249940430714,2314.7995017760522,131.78389196227724,245.88923019191802,1758.8972382739667,2092.5509439951047,2266.602198991568,1789.3941881660135,2160.7810079126257,7.947759000741527,9.032745175706253,"[1, 11, 14, 15]",4360.533333333335,4618.802745832717
1,1927.4496805836568,2351.3828715685795,2150.9765452903875,1768.8552090914686,467.1190865797266,2291.1471890477474,139.32917879571767,255.21234319043265,1689.6013008675031,2027.3302340613623,2247.775694970228,1823.7545391570295,2332.4213171511683,8.26361619213316,8.156579199425188,"[1, 10, 12, 13, 15]",4360.533333333335,4434.581926339512
2,1939.4289116789425,2571.5758408449947,2136.1022743008043,1725.3796868660768,464.0300288556406,2298.2788269598864,131.42790853442406,223.5164771338246,1807.996025523207,2197.985709949722,2247.2042209655647,1605.8786980963264,2266.3059999601087,8.067706187961758,9.250386879926054,"[1, 10, 12, 13, 15]",4360.533333333335,4659.7507541262485
3,1953.036048694145,2482.9938017626346,2348.974920393918,1741.077721821646,457.593367693627,2177.635113831478,128.76395531758132,196.04705752379303,1841.2083144943035,2100.244875518007,2186.6859489356784,1788.3485174333764,2326.755627682866,8.476891113906927,8.800620064964384,"[1, 10, 12, 13, 15]",4360.533333333335,4582.071316953233
4,1926.967803320471,2305.542855800695,2346.359312124223,1754.0647213217526,472.44619035709576,2524.1079468580497,135.6470844060278,238.66713398904108,2055.257439831499,2223.4874814218247,1954.1343665398592,1546.4581372258467,2051.05060195159,7.836367988263105,9.213016202040142,"[1, 11, 14, 15]",4360.533333333335,4521.207265635775
5,1956.9747092724488,2532.9787791536787,2208.5179977334706,1757.8842264476823,461.46096973943116,2447.642712907201,149.8266988971985,246.3697253355365,1737.3483650289568,2203.4745782894133,2352.136612650577,1473.2600955515616,2295.9585185690075,8.81062274336215,8.828042352622447,"[1, 10, 12, 13, 15]",4360.533333333335,4657.41885241931
6,1962.2802732623638,2464.8917435283897,2215.4716071274697,1741.5480293204487,471.7494560868715,2171.9279329428823,139.06297824239024,222.09172978346464,2091.959843007812,2129.2173850563613,2180.9603114674414,1655.4922601446217,1975.510771161275,7.870347930628606,9.078991449249822,"[1, 10, 12, 13, 15]",4360.533333333335,4583.184334413022
7,1942.5118172965435,2363.9583278160967,2076.455418046741,1735.7117876593957,450.7925149556628,2529.983411229675,142.23156848802316,250.94538979834215,1997.8385628882631,1829.9113326014249,2369.860378045238,1784.1620700780218,2070.746867850828,7.48126856848417,8.906042322356706,"[1, 10, 12, 13, 15]",4360.533333333335,4465.089024491504
8,1915.433406691096,1963.8933410981122,2158.4419370263404,1760.4751919315565,464.6146954545778,2409.1943969541644,132.44972991975396,232.42029057290654,1946.445349238523,2012.0522932897072,1904.1748604793859,1787.6912861552469,2174.9296890950445,8.374625391632488,8.606362439185238,"[1, 11, 14, 15]",4360.533333333335,4314.901996729528
9,1949.704711941494,2000.3469657248959,2094.3906193402545,1742.4506014725002,464.98780910025556,2258.8465460928587,139.15563995284617,235.25198265031156,1546.414310804983,2173.016181932907,2189.460447327023,1666.332229201097,1970.543898670823,8.172485100071949,9.254930042595605,"[1, 11, 14, 15]",4360.533333333335,4288.602243974655
