,duration1,duration10,duration11,duration2,duration3,duration4,duration12,duration14,duration5,duration6,duration7,duration8,duration9,duration13,duration15,critical_path,baseline_duration,actual_duration
0,0,1914.3440597137749,1994.7971415376899,2296,1473.1470615583955,2450.231893334666,110.04535919045354,250.32700078251386,1708.8001081695115,2250.7748597972004,2335.015550481115,1599.7624230949843,2125.70936118846,9.034200316696035,0,"[2, 11, 14, 15]",4360.533333333335,4541.124142320204
1,0,1887.8601402201011,2163.838145768328,2296,1474.2482393805265,2326.2639337530272,143.2899789340297,205.72195967997897,1778.1619562734113,2426.7873890168703,2402.9606636941903,1618.4468056723288,2282.225402904105,9.155442622570986,0,"[2, 11, 14, 15]",4360.533333333335,4665.560105448307
2,0,2137.2345662101015,2089.4590055474164,2296,1469.7059167982152,2197.6853562306087,127.77791378972323,228.78885934355608,1785.0401325170728,2397.0426108615666,2369.035169326177,1649.9299525588035,2140.863936637471,8.80121209367792,0,"[2, 11, 14, 15]",4360.533333333335,4614.247864890973
3,0,2159.059035099858,2063.7155868456057,2296,1450.7008438365626,2384.065912746652,142.2739350507365,232.9708347590747,1684.4802068625604,2486.3632701658717,2251.2460321407198,1611.4527344735252,1857.7326671471974,8.418650643406515,0,"[2, 10, 12, 13, 15]",4360.533333333335,4605.751620794001
4,0,2119.83768566028,1903.286573222061,2296,1450.7434155282804,2379.011925816122,129.60811413588627,219.75932964172364,1903.6616006133304,2462.307201533775,2290.0501599864792,1660.3999210094355,1968.537199013533,7.750720664556134,0,"[2, 10, 12, 13, 15]",4360.533333333335,4553.196520460722
5,0,2140.1420737611106,2074.790469835606,2296,1473.0253922969268,2491.427437145152,130.6339985643313,218.25888646233818,1785.2304718017635,2435.8612596255516,2333.1028649864966,1592.3074116381504,2054.093589590244,8.756000508128757,0,"[2, 11, 14, 15]",4360.533333333335,4589.0493562979445
6,0,2196.3554341574963,2005.4406352457709,2296,1462.408480110394,2487.0370123051844,144.87466555525424,240.63401484098645,1805.4983707486977,2452.0149534164366,2313.2600175910056,1631.7615206152868,2098.244595537398,9.261647117335771,0,"[2, 10, 12, 13, 15]",4360.533333333335,4646.491746830086
7,0,2141.2447947483615,2089.781955864967,2296,1454.213899816151,2409.262152620757,147.36919840404644,231.34610040279728,1801.9617525821848,2328.120663457071,2236.1743029576237,1623.8021339200031,2238.0033462211977,8.801589635618614,0,"[2, 11, 14, 15]",4360.533333333335,4617.128056267765
8,0,2075.716968714268,2083.931919762212,2296,1459.7359634656573,2270.61313810086,142.3401119480996,235.71577212411555,1825.0012628470893,2405.825512282203,2402.521122434553,1649.381736933397,2239.4759453611537,8.113587301601834,0,"[2, 11, 14, 15]",4360.533333333335,4615.647691886327
9,0,2151.845605429573,2201.952180733266,2296,1462.4744376387873,2312.8853297886144,136.209791294819,250.1358491271385,1883.1803549794429,2347.0835212493866,2358.206250157572,1656.8472300607089,2104.4560367844088,8.288430242437608,0,"[2, 11, 14, 15]",4360.533333333335,4748.088029860404
10,0,1947.853908274444,2113.094377735325,2296,1453.5592990464643,2525.557365311055,133.97643130045495,214.23891170554393,1834.7562645095736,2460.500463089647,2340.6257571294045,1617.116746831306,2022.2443374519978,9.258595811161541,0,"[2, 11, 14, 15]",4360.533333333335,4623.333289440869
11,0,2101.3698137991464,1964.5272175390833,2296,1469.9896130257086,2464.864375907928,137.91848587966393,223.87077003504947,1863.3093386417058,2376.6710511817832,2270.0042792761587,1592.157310890826,1899.6834942339938,7.608177932559142,0,"[2, 10, 12, 13, 15]",4360.533333333335,4542.896477611371
